10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.web.dll (Sitecore.ExperienceExplorer, The Experience Explorer is intended to seamlessly enable marketers to explorer their web-site as experienced by their primary target audiences. With a single, integrated solution, the module allows marketers to create and impersonate themselves as pre-defined arch-types and discover new capabilities of their site. With improved insights and awareness of the sites personalization and behavior, the module allows marketers to become more efficiently in maximizing the business value for their customers using the Sitecore Customer Engagement Platform, 1.0.0.0 rev. 0)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.forms.core.dll (Web Forms for Marketers 8.0.rev. 151127, 8.0 rev. 151127)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.forms.custom.dll (Web Forms for Marketers 8.0.rev. 151127, 8.0 rev. 151127)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.client.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.service.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.speak.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.itemwebapi.dll (Sitecore Item Web API, 1.2.0 rev. 141016)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.kernel.dll (Sitecore CMS, Sitecore CMS Kernel Library, 8.0 rev. 151127)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.launchpad.dll (Sitecore LaunchPad, 1.0 rev. 150403)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.analytics.dll (Sitecore List Manager, 1.0.4 rev. 150603)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.client.dll (Sitecore List Manager, 1.0.4 rev. 150603)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.contentsearch.dll (Sitecore List Manager, 1.0.4 rev. 150603)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.dll (Sitecore List Manager, 1.0.4 rev. 150603)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.services.dll (Sitecore List Manager, 1.0.4 rev. 150603)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.logging.dll (Sitecore CMS, Sitecore Logging Framework, 6.6.0 rev. 120918)
